claim_id,accident_year,line_of_business,risk_class,exposure,previous_claims,deductible,coverage_limit,development_month,claim_amount,reported_amount,paid_amount,reserve
CLM-00001,2020,cyber,C,1107000.0,1,100000,2000000.0,19,403918.0,392856.0,155784.0,237072.0
CLM-00002,2019,property,B,1193000.0,1,100000,2000000.0,35,37476.0,37599.0,25334.0,12265.0
CLM-00003,2023,cyber,C,8737000.0,0,100000,1000000.0,25,30006.0,33778.0,14398.0,19380.0
CLM-00004,2022,auto,B,5896000.0,1,50000,2000000.0,19,203425.0,197780.0,71669.0,126111.0
CLM-00005,2018,general_liability,A,1562000.0,0,50000,10000000.0,12,21958.0,20600.0,5091.0,15509.0
CLM-00006,2022,auto,D,1608000.0,3,250000,2000000.0,3,412928.0,403637.0,22953.0,380684.0
CLM-00007,2018,general_liability,C,1004000.0,0,25000,10000000.0,45,39422.0,42963.0,36091.0,6872.0
CLM-00008,2020,business_interruption,C,637000.0,6,25000,1000000.0,50,67614.0,75387.0,61416.0,13971.0
CLM-00009,2020,property,A,1865000.0,3,100000,5000000.0,40,76672.0,71198.0,55547.0,15651.0
CLM-00010,2023,business_interruption,B,1099000.0,3,50000,2000000.0,15,119208.0,125815.0,33006.0,92809.0
CLM-00011,2024,property,B,1901000.0,1,100000,5000000.0,2,136402.0,142107.0,6344.0,135763.0
CLM-00012,2022,cyber,D,766000.0,2,25000,5000000.0,38,109504.0,116863.0,85602.0,31261.0
CLM-00013,2023,business_interruption,B,1266000.0,2,250000,5000000.0,12,107565.0,114854.0,24070.0,90784.0
CLM-00014,2018,general_liability,C,2187000.0,5,50000,10000000.0,33,270446.0,308272.0,165416.0,142856.0
CLM-00015,2018,property,B,2491000.0,1,50000,2000000.0,59,87537.0,86367.0,79745.0,6622.0
CLM-00016,2023,cyber,A,2569000.0,0,250000,1000000.0,1,42134.0,41078.0,2097.0,38981.0
CLM-00017,2020,cyber,B,906000.0,3,50000,2000000.0,35,18137.0,18959.0,12918.0,6041.0
CLM-00018,2021,general_liability,A,3340000.0,1,100000,5000000.0,60,95024.0,95723.0,82904.0,12819.0
CLM-00019,2022,general_liability,C,1237000.0,4,50000,2000000.0,21,114951.0,117071.0,47377.0,69694.0
CLM-00020,2020,cyber,B,2924000.0,3,100000,2000000.0,49,61520.0,56433.0,59599.0,0.0
CLM-00021,2022,property,C,1987000.0,1,100000,2000000.0,50,309520.0,290039.0,298749.0,0.0
CLM-00022,2023,auto,B,876000.0,0,50000,2000000.0,30,14371.0,16294.0,8293.0,8001.0
CLM-00023,2019,general_liability,D,1654000.0,3,25000,5000000.0,19,684581.0,627811.0,260080.0,367731.0
CLM-00024,2022,property,C,2490000.0,1,25000,5000000.0,41,101636.0,106467.0,81392.0,25075.0
CLM-00025,2019,cyber,C,2889000.0,3,250000,5000000.0,38,168068.0,182966.0,117116.0,65850.0
CLM-00026,2020,general_liability,A,1838000.0,1,250000,5000000.0,29,33448.0,30202.0,17347.0,12855.0
CLM-00027,2023,business_interruption,B,5014000.0,3,250000,5000000.0,12,22784.0,21774.0,5157.0,16617.0
CLM-00028,2024,auto,A,3661000.0,3,25000,2000000.0,45,58684.0,58348.0,47275.0,11073.0
CLM-00029,2018,general_liability,A,1715000.0,0,50000,10000000.0,13,58528.0,60091.0,14413.0,45678.0
CLM-00030,2022,general_liability,B,3137000.0,2,100000,1000000.0,9,154130.0,151880.0,28158.0,123722.0
CLM-00031,2021,general_liability,C,6382000.0,4,100000,5000000.0,5,139563.0,148251.0,14198.0,134053.0
CLM-00032,2022,cyber,D,6485000.0,6,25000,5000000.0,27,38763.0,37081.0,18645.0,18436.0
CLM-00033,2023,auto,A,957000.0,0,50000,2000000.0,8,9345.0,8470.0,1340.0,7130.0
CLM-00034,2018,cyber,B,1147000.0,2,25000,2000000.0,21,413427.0,372247.0,171917.0,200330.0
CLM-00035,2023,general_liability,B,4875000.0,1,50000,2000000.0,15,32334.0,31894.0,9347.0,22547.0
CLM-00036,2019,property,A,1060000.0,0,25000,2000000.0,28,138696.0,137367.0,70583.0,66784.0
CLM-00037,2019,property,A,904000.0,0,25000,10000000.0,47,15918.0,18101.0,15132.0,2969.0
CLM-00038,2021,cyber,B,1494000.0,2,25000,2000000.0,28,59118.0,53868.0,30433.0,23435.0
CLM-00039,2018,general_liability,A,2574000.0,1,250000,1000000.0,34,91143.0,94107.0,55632.0,38475.0
CLM-00040,2022,general_liability,B,1881000.0,6,100000,2000000.0,9,48577.0,50736.0,8766.0,41970.0
CLM-00041,2021,general_liability,B,1354000.0,0,250000,2000000.0,7,242775.0,260939.0,33324.0,227615.0
CLM-00042,2021,general_liability,C,1335000.0,4,50000,1000000.0,59,120755.0,127962.0,109786.0,18176.0
CLM-00043,2018,auto,C,1304000.0,3,50000,2000000.0,38,156726.0,141372.0,118356.0,23016.0
CLM-00044,2023,auto,A,1180000.0,0,50000,2000000.0,1,30998.0,32795.0,1529.0,31266.0
CLM-00045,2018,business_interruption,C,7863000.0,3,50000,1000000.0,34,293467.0,287773.0,177757.0,110016.0
CLM-00046,2019,property,C,2391000.0,2,50000,2000000.0,1,460456.0,503378.0,1510134.0,481641.0
CLM-00047,2020,auto,B,3405000.0,3,100000,2000000.0,5,82395.0,78036.0,7576.0,70460.0
CLM-00048,2022,property,A,1491000.0,1,100000,5000000.0,23,214858.0,231843.0,94832.0,137011.0
CLM-00049,2020,cyber,B,1789000.0,1,100000,2000000.0,40,38797.0,40984.0,29537.0,11447.0
CLM-00050,2023,auto,A,1303000.0,0,25000,1000000.0,38,80417.0,85489.0,57838.0,27651.0
CLM-00051,2024,general_liability,A,407000.0,3,50000,10000000.0,48,59671.0,56329.0,52424.0,3905.0
CLM-00052,2023,cyber,A,875000.0,1,25000,2000000.0,11,15154.0,16174.0,3370.0,12804.0
CLM-00053,2018,general_liability,C,675000.0,0,25000,1000000.0,12,83726.0,90779.0,18983.0,71796.0
CLM-00054,2023,property,B,519000.0,0,100000,5000000.0,32,45881.0,46907.0,30070.0,16837.0
CLM-00055,2019,general_liability,C,976000.0,2,50000,1000000.0,53,41241.0,40626.0,37249.0,3377.0
CLM-00056,2024,property,C,4429000.0,5,100000,5000000.0,44,227607.0,214324.0,203623.0,10701.0
CLM-00057,2024,cyber,B,1947000.0,1,25000,5000000.0,41,78383.0,76227.0,62377.0,13850.0
CLM-00058,2018,auto,B,4338000.0,1,250000,10000000.0,6,78642.0,85795.0,8924.0,76871.0
CLM-00059,2018,cyber,A,2559000.0,1,250000,10000000.0,53,48743.0,48858.0,46579.0,2279.0
CLM-00060,2022,cyber,A,3199000.0,0,50000,2000000.0,60,46669.0,50201.0,45176.0,5025.0
CLM-00061,2019,cyber,B,1165000.0,0,100000,5000000.0,35,20000000.0,43477.0,26951.0,16526.0
CLM-00062,2024,general_liability,B,2739000.0,1,25000,2000000.0,21,84870.0,90687.0,33930.0,56757.0
CLM-00063,2021,property,B,3097000.0,1,100000,5000000.0,40,43227.0,46183.0,33739.0,12444.0
CLM-00064,2022,general_liability,C,1415000.0,4,100000,2000000.0,39,1250485.0,1316388.0,952797.0,363591.0
CLM-00065,2024,business_interruption,B,2798000.0,2,100000,1000000.0,56,22924.0,23603.0,20948.0,2655.0
CLM-00066,2019,business_interruption,B,2809000.0,3,100000,1000000.0,7,52212.0,49573.0,7337.0,42236.0
CLM-00067,2021,cyber,B,1438000.0,3,50000,1000000.0,31,47419.0,52668.0,27867.0,24801.0
CLM-00068,2024,property,A,1020000.0,0,100000,1000000.0,43,238596.0,272254.0,196205.0,76049.0
CLM-00069,2018,property,A,983000.0,1,50000,2000000.0,21,12441.0,12648.0,5121.0,7527.0
CLM-00070,2019,cyber,B,2107000.0,4,25000,10000000.0,51,130715.0,148141.0,444423.0,17684.0
CLM-00071,2019,property,A,2434000.0,1,25000,2000000.0,4,64028.0,73600.0,4744.0,68856.0
CLM-00072,2020,auto,B,1243000.0,1,100000,5000000.0,7,82930.0,84717.0,10701.0,74016.0
CLM-00073,2018,general_liability,C,2032000.0,7,50000,5000000.0,48,484608.0,523904.0,424775.0,99129.0
CLM-00074,2019,general_liability,A,2816000.0,1,50000,5000000.0,8,158610.0,168277.0,25204.0,143073.0
CLM-00075,2023,auto,A,2898000.0,1,250000,2000000.0,26,35642.0,34192.0,17711.0,16481.0
CLM-00076,2021,business_interruption,A,5075000.0,0,50000,5000000.0,17,67631.0,61664.0,21756.0,39908.0
