claim_id,accident_year,line_of_business,risk_class,exposure,previous_claims,deductible,coverage_limit,development_month,claim_amount,reported_amount,paid_amount,reserve,litigated,status,report_lag_days
AEG-00001,2016,workers_comp,D,3196000.0,4,250000.0,5000000.0,96,115639.0,115997.0,98435.0,17562.0,True,closed,5.0
AEG-00002,2016,medical_malpractice,B,7776000.0,2,50000.0,2000000.0,96,21170.0,21218.0,16939.0,4279.0,False,closed,9.0
AEG-00003,2016,medical_malpractice,B,2383000.0,2,50000.0,10000000.0,96,32288.0,31081.0,28333.0,2748.0,False,closed,60.0
AEG-00004,2016,workers_comp,C,4201000.0,1,100000.0,10000000.0,96,974416.0,1074061.0,967120.0,106941.0,False,closed,15.0
AEG-00005,2016,medical_malpractice,C,4483000.0,2,250000.0,5000000.0,96,127793.0,123905.0,121755.0,2150.0,True,closed,5.0
AEG-00006,2016,workers_comp,B,2320000.0,1,100000.0,5000000.0,96,572135.0,602435.0,464535.0,137900.0,False,closed,11.0
AEG-00007,2016,workers_comp,B,10645000.0,2,100000.0,5000000.0,96,86921.0,86057.0,81750.0,4307.0,True,closed,96.0
AEG-00008,2016,general_liability,C,9340000.0,3,250000.0,10000000.0,96,416859.0,460960.0,409944.0,51016.0,True,closed,8.0
AEG-00009,2016,medical_malpractice,B,3569000.0,3,100000.0,10000000.0,96,40669.0,45084.0,40406.0,4678.0,True,closed,17.0
AEG-00010,2016,medical_malpractice,D,6619000.0,3,100000.0,10000000.0,96,101105.0,91663.0,95362.0,0.0,False,closed,5.0
AEG-00011,2016,medical_malpractice,A,5438000.0,1,250000.0,2000000.0,96,1160382.0,1298232.0,1128586.0,169646.0,False,closed,28.0
AEG-00012,2016,medical_malpractice,B,1218000.0,0,50000.0,10000000.0,96,196257.0,202750.0,190044.0,12706.0,False,closed,45.0
AEG-00013,2016,general_liability,B,5100000.0,1,250000.0,5000000.0,96,65205.0,59744.0,56837.0,2907.0,True,closed,83.0
AEG-00014,2016,general_liability,D,4364000.0,5,100000.0,2000000.0,96,157014.0,158482.0,128721.0,29761.0,False,closed,24.0
AEG-00015,2016,property,A,4691000.0,2,100000.0,2000000.0,96,221193.0,201481.0,209136.0,0.0,True,closed,6.0
AEG-00016,2016,workers_comp,C,2626000.0,2,250000.0,5000000.0,96,741198.0,756583.0,613254.0,143329.0,False,closed,9.0
AEG-00017,2016,general_liability,B,3933000.0,2,250000.0,2000000.0,96,66114.0,62200.0,57971.0,4229.0,True,closed,19.0
AEG-00018,2016,property,C,4116000.0,3,250000.0,10000000.0,96,30611.0,30028.0,30585.0,0.0,True,closed,15.0
AEG-00019,2016,medical_malpractice,B,8151000.0,2,250000.0,5000000.0,96,58887.0,56946.0,53702.0,3244.0,False,closed,13.0
AEG-00020,2016,medical_malpractice,D,5319000.0,3,50000.0,10000000.0,96,123334.0,127341.0,111537.0,15804.0,True,closed,32.0
AEG-00021,2016,general_liability,B,4488000.0,2,100000.0,10000000.0,96,131610.0,142260.0,130238.0,12022.0,False,closed,9.0
AEG-00022,2016,medical_malpractice,B,9665000.0,2,250000.0,5000000.0,96,369221.0,408372.0,316352.0,92020.0,True,closed,18.0
AEG-00023,2016,medical_malpractice,A,3409000.0,1,50000.0,5000000.0,96,95717.0,93070.0,95706.0,0.0,False,closed,96.0
AEG-00024,2016,general_liability,A,3704000.0,0,50000.0,10000000.0,96,241950.0,248079.0,237691.0,10388.0,False,closed,19.0
AEG-00025,2016,general_liability,A,1814000.0,0,250000.0,5000000.0,96,26778.0,24135.0,23371.0,764.0,False,closed,9.0
AEG-00026,2016,property,D,9861000.0,3,250000.0,5000000.0,96,751422.0,737803.0,650317.0,87486.0,False,closed,54.0
AEG-00027,2016,general_liability,C,7288000.0,2,50000.0,10000000.0,96,1578973.0,1754799.0,1303146.0,451653.0,True,closed,8.0
AEG-00028,2016,general_liability,A,7117000.0,2,50000.0,5000000.0,96,231070.0,214004.0,227171.0,0.0,False,closed,14.0
AEG-00029,2016,general_liability,B,6287000.0,0,100000.0,2000000.0,96,155317.0,169507.0,130025.0,39482.0,False,closed,14.0
AEG-00030,2016,medical_malpractice,B,4755000.0,3,250000.0,10000000.0,96,96959.0,101182.0,77741.0,23441.0,False,closed,6.0
