claim_id,accident_year,line_of_business,risk_class,exposure,previous_claims,deductible,coverage_limit,development_month,claim_amount,reported_amount,paid_amount,reserve,litigated,status,report_lag_days
NEX-00001,2018,cyber_breach,D,8008000.0,3,1000000.0,25000000.0,36,1177497.0,1270939.0,1166202.0,104737.0,False,closed,10.0
NEX-00002,2018,tech_eo,A,20396000.0,0,1000000.0,10000000.0,36,95575.0,86318.0,84956.0,1362.0,False,closed,5.0
NEX-00003,2018,cyber_breach,A,8014000.0,0,250000.0,10000000.0,36,469467.0,487430.0,467626.0,19804.0,False,closed,12.0
NEX-00004,2018,tech_eo,B,11806000.0,0,500000.0,50000000.0,36,68275.0,73359.0,61659.0,11700.0,False,closed,34.0
NEX-00005,2018,tech_eo,A,18673000.0,1,250000.0,10000000.0,36,34985.0,35435.0,31635.0,3800.0,False,closed,21.0
NEX-00006,2018,business_interruption,A,8963000.0,2,250000.0,50000000.0,36,278442.0,295061.0,272681.0,22380.0,False,closed,28.0
NEX-00007,2018,cyber_breach,B,11348000.0,2,500000.0,50000000.0,36,106557.0,101209.0,101075.0,134.0,False,closed,18.0
NEX-00008,2018,cyber_breach,B,12681000.0,1,1000000.0,25000000.0,36,448116.0,422876.0,410533.0,12343.0,False,closed,6.0
NEX-00009,2018,cyber_breach,D,12389000.0,1,1000000.0,25000000.0,36,11092242.0,10869154.0,9820294.0,1048860.0,False,closed,13.0
NEX-00010,2018,cyber_breach,B,6504000.0,1,500000.0,50000000.0,36,116834.0,109762.0,113988.0,0.0,False,closed,19.0
NEX-00011,2018,business_interruption,B,12466000.0,1,500000.0,25000000.0,36,220949.0,215676.0,194950.0,20726.0,True,closed,13.0
NEX-00012,2018,business_interruption,B,23673000.0,2,500000.0,25000000.0,36,676918.0,750423.0,666461.0,83962.0,False,closed,16.0
NEX-00013,2018,d_and_o,A,5536000.0,3,250000.0,10000000.0,36,1307440.0,1341608.0,1063920.0,277688.0,False,closed,20.0
NEX-00014,2018,tech_eo,A,18441000.0,0,500000.0,25000000.0,36,430295.0,419458.0,381241.0,38217.0,False,closed,33.0
NEX-00015,2018,business_interruption,A,12738000.0,0,1000000.0,50000000.0,36,318063.0,305256.0,287498.0,17758.0,True,closed,12.0
