claim_id,accident_year,line_of_business,risk_class,exposure,previous_claims,deductible,coverage_limit,development_month,claim_amount,reported_amount,paid_amount,reserve,litigated,status,report_lag_days
TER-00001,2018,equipment,B,2753000.0,4,100000.0,10000000.0,48,95002.0,99395.0,89484.0,9911.0,False,closed,9.0
TER-00002,2018,builders_risk,B,2614000.0,0,100000.0,5000000.0,48,42608.0,44700.0,35753.0,8947.0,False,closed,11.0
TER-00003,2018,weather_delay,A,1860000.0,0,25000.0,5000000.0,48,16565.0,17035.0,13706.0,3329.0,False,closed,41.0
TER-00004,2018,equipment,B,2356000.0,0,25000.0,10000000.0,48,113860.0,113010.0,98408.0,14602.0,True,closed,29.0
TER-00005,2018,builders_risk,A,921000.0,0,25000.0,2000000.0,48,12544.0,11796.0,11963.0,0.0,False,closed,41.0
TER-00006,2018,equipment,B,1420000.0,0,25000.0,2000000.0,48,323925.0,312387.0,290760.0,21627.0,False,closed,42.0
TER-00007,2018,equipment,A,2997000.0,1,50000.0,10000000.0,48,251786.0,242833.0,247918.0,0.0,False,closed,9.0
TER-00008,2018,weather_delay,D,862000.0,1,50000.0,10000000.0,48,315883.0,314229.0,294174.0,20055.0,False,closed,11.0
TER-00009,2018,weather_delay,A,3817000.0,1,100000.0,2000000.0,48,33738.0,37780.0,31180.0,6600.0,False,closed,24.0
TER-00010,2018,builders_risk,B,1044000.0,2,50000.0,2000000.0,48,88051.0,86075.0,83960.0,2115.0,False,closed,21.0
TER-00011,2018,builders_risk,B,3650000.0,3,100000.0,5000000.0,48,44656.0,44586.0,42426.0,2160.0,True,closed,38.0
TER-00012,2018,weather_delay,C,1638000.0,1,100000.0,10000000.0,48,55044.0,54040.0,47820.0,6220.0,True,closed,14.0
TER-00013,2018,weather_delay,B,3691000.0,3,100000.0,2000000.0,48,47479.0,48804.0,40424.0,8380.0,False,closed,79.0
TER-00014,2018,contractor_liability,A,2669000.0,0,25000.0,10000000.0,48,17627.0,19540.0,15644.0,3896.0,False,closed,21.0
TER-00015,2018,surety,C,1159000.0,1,50000.0,5000000.0,48,31447.0,34453.0,28235.0,6218.0,False,closed,54.0
TER-00016,2018,equipment,D,4669000.0,5,100000.0,10000000.0,48,346135.0,340241.0,286719.0,53522.0,False,closed,8.0
TER-00017,2018,contractor_liability,D,5140000.0,3,100000.0,5000000.0,48,102854.0,98608.0,91362.0,7246.0,False,closed,28.0
TER-00018,2018,surety,B,2419000.0,2,25000.0,5000000.0,48,147171.0,161089.0,136569.0,24520.0,False,closed,32.0
TER-00019,2018,builders_risk,A,2180000.0,1,100000.0,5000000.0,48,120237.0,121276.0,99453.0,21823.0,False,closed,18.0
TER-00020,2018,builders_risk,A,2308000.0,2,100000.0,10000000.0,48,6807.0,7153.0,5634.0,1519.0,False,closed,31.0
