claim_id,accident_year,line_of_business,risk_class,exposure,previous_claims,deductible,coverage_limit,development_month,claim_amount,reported_amount,paid_amount,reserve,litigated,status,report_lag_days
VEL-00001,2018,cargo,B,167000.0,0,25000.0,1000000.0,30,7743.0,7455.0,6257.0,1198.0,False,closed,11.0
VEL-00002,2018,auto_liability,D,194000.0,5,5000.0,2000000.0,30,14285.0,14512.0,12278.0,2234.0,False,closed,10.0
VEL-00003,2018,auto_liability,A,227000.0,4,10000.0,2000000.0,30,4142.0,4571.0,3843.0,728.0,False,closed,46.0
VEL-00004,2018,cargo,C,87000.0,1,10000.0,1000000.0,30,8804.0,9468.0,7313.0,2155.0,False,closed,50.0
VEL-00005,2018,auto_liability,B,496000.0,0,5000.0,1000000.0,30,27631.0,25471.0,50015.767271800236,0.0,False,closed,183.0
VEL-00006,2018,cargo,A,325000.0,0,5000.0,2000000.0,30,7035.0,6804.0,7017.0,0.0,False,closed,52.0
VEL-00007,2018,cargo,D,261000.0,1,10000.0,2000000.0,30,13432.0,13531.0,12398.0,1133.0,False,closed,28.0
VEL-00008,2018,physical_damage,B,150000.0,0,5000.0,2000000.0,30,3460.0,3660.0,2801.0,859.0,False,closed,9.0
VEL-00009,2018,auto_liability,A,172000.0,1,5000.0,2000000.0,30,2551.0,2299.0,2133.0,166.0,False,closed,11.0
VEL-00010,2018,auto_liability,D,238000.0,3,10000.0,2000000.0,30,13267.0,14462.0,11969.0,2493.0,True,closed,20.0
VEL-00011,2018,auto_liability,A,222000.0,0,5000.0,2000000.0,30,6830.0,7412.0,6741.0,671.0,False,closed,18.0
VEL-00012,2018,physical_damage,A,76000.0,0,5000.0,2000000.0,30,6401.0,7107.0,6378.0,729.0,False,closed,38.0
VEL-00013,2018,physical_damage,B,263000.0,2,25000.0,1000000.0,30,4618.0,4362.0,4375.0,0.0,False,closed,17.0
VEL-00014,2018,physical_damage,D,802000.0,3,25000.0,2000000.0,30,19506.0,18470.0,19078.0,0.0,False,closed,4.0
VEL-00015,2018,workers_comp,A,70000.0,0,5000.0,2000000.0,30,2851.0,3088.0,2336.0,752.0,False,closed,39.0
VEL-00016,2018,cargo,D,300000.0,0,25000.0,1000000.0,30,11733.0,11888.0,10577.0,1311.0,False,closed,69.0
VEL-00017,2018,physical_damage,B,218000.0,1,10000.0,2000000.0,30,6471.0,6173.0,5796.0,377.0,False,closed,4.0
VEL-00018,2018,workers_comp,A,170000.0,3,25000.0,1000000.0,30,5431.0,4908.0,4580.0,328.0,False,closed,40.0
VEL-00019,2018,auto_liability,B,364000.0,3,5000.0,1000000.0,30,6144.0,5822.0,5608.0,214.0,False,closed,4.0
VEL-00020,2018,auto_liability,B,98000.0,3,25000.0,1000000.0,30,3320.0,3481.0,3030.0,451.0,False,closed,33.0
VEL-00021,2018,physical_damage,B,196000.0,1,10000.0,1000000.0,30,4286.0,4548.0,4262.0,286.0,False,closed,16.0
VEL-00022,2018,auto_liability,C,381000.0,2,25000.0,2000000.0,30,25899.0,25328.0,21066.0,4262.0,False,closed,7.0
VEL-00023,2018,auto_liability,B,163000.0,0,25000.0,2000000.0,30,9570.0,10545.0,8229.0,2316.0,False,closed,22.0
VEL-00024,2018,physical_damage,D,145000.0,3,5000.0,1000000.0,30,28779.0,29128.0,24008.0,5120.0,False,closed,12.0
VEL-00025,2018,physical_damage,A,191000.0,0,5000.0,2000000.0,30,6677.0,6770.0,5640.0,1130.0,False,closed,59.0
VEL-00026,2018,workers_comp,C,143000.0,3,10000.0,1000000.0,30,31637.0,31220.0,27324.0,3896.0,False,closed,18.0
VEL-00027,2018,physical_damage,B,398000.0,4,10000.0,1000000.0,30,14112.0,13953.0,12331.0,1622.0,False,closed,26.0
VEL-00028,2018,physical_damage,C,113000.0,3,5000.0,2000000.0,30,23849.0,23348.0,23646.0,0.0,False,closed,22.0
VEL-00029,2018,physical_damage,C,282000.0,1,5000.0,1000000.0,30,56754.0,61375.0,49131.0,12244.0,False,closed,37.0
VEL-00030,2018,auto_liability,D,95000.0,3,5000.0,2000000.0,30,6930.0,6908.0,6215.0,693.0,False,closed,12.0
VEL-00031,2018,auto_liability,A,254000.0,1,25000.0,2000000.0,30,5478.0,5209.0,4564.0,645.0,True,closed,70.0
VEL-00032,2018,auto_liability,B,171000.0,1,5000.0,1000000.0,30,5302.0,5280.0,4476.0,804.0,False,closed,25.0
VEL-00033,2018,physical_damage,D,48000.0,1,25000.0,1000000.0,30,841.0,928.0,709.0,219.0,False,closed,25.0
VEL-00034,2018,auto_liability,D,179000.0,1,5000.0,1000000.0,30,2886.0,3003.0,2637.0,366.0,True,closed,22.0
VEL-00035,2018,auto_liability,B,104000.0,1,25000.0,2000000.0,30,5596.0,5166.0,4813.0,353.0,False,closed,25.0
VEL-00036,2018,auto_liability,D,143000.0,2,5000.0,2000000.0,30,13244.0,13141.0,11331.0,1810.0,False,closed,17.0
VEL-00037,2018,cargo,B,397000.0,1,25000.0,2000000.0,30,6658.0,6676.0,6024.0,652.0,False,closed,15.0
VEL-00038,2018,auto_liability,B,101000.0,1,5000.0,2000000.0,30,12947.0,11692.0,10400.0,1292.0,False,closed,17.0
VEL-00039,2018,auto_liability,C,104000.0,3,5000.0,1000000.0,30,17683.0,19655.0,17200.0,2455.0,False,closed,26.0
VEL-00040,2018,cargo,B,377000.0,3,25000.0,1000000.0,30,7531.0,8296.0,6102.0,2194.0,False,closed,41.0
VEL-00041,2018,physical_damage,B,191000.0,2,5000.0,2000000.0,30,22993.0,21207.0,20286.0,921.0,False,closed,27.0
VEL-00042,2018,cargo,B,398000.0,1,5000.0,1000000.0,30,38231.0,39053.0,38144.0,909.0,False,closed,19.0
VEL-00043,2018,physical_damage,B,213000.0,3,10000.0,2000000.0,30,11201.0,10851.0,9337.0,1514.0,False,closed,29.0
VEL-00044,2018,cargo,A,114000.0,0,5000.0,2000000.0,30,4032.0,3817.0,3262.0,555.0,False,closed,40.0
VEL-00045,2018,auto_liability,A,174000.0,3,5000.0,2000000.0,30,13643.0,13102.0,12240.0,862.0,False,closed,31.0
VEL-00046,2018,physical_damage,C,339000.0,1,10000.0,1000000.0,30,8551.0,7797.0,7919.0,0.0,False,closed,61.0
VEL-00047,2018,physical_damage,B,292000.0,2,10000.0,2000000.0,30,5966.0,6273.0,5229.0,1044.0,False,closed,22.0
VEL-00048,2018,cargo,B,180000.0,2,5000.0,1000000.0,30,11238.0,11021.0,9485.0,1536.0,False,closed,23.0
VEL-00049,2018,auto_liability,C,185000.0,2,10000.0,2000000.0,30,4527.0,4771.0,4247.0,524.0,False,closed,14.0
VEL-00050,2018,physical_damage,A,170000.0,0,25000.0,2000000.0,30,14507.0,15658.0,13317.0,2341.0,False,closed,11.0
VEL-00051,2018,auto_liability,A,134000.0,1,10000.0,2000000.0,30,8141.0,8353.0,7078.0,1275.0,True,closed,26.0
VEL-00052,2018,auto_liability,A,486000.0,1,5000.0,2000000.0,30,11343.0,11066.0,10471.0,595.0,False,closed,17.0
